3769
79,92
82,33
80,12
100,48
8,30
13,72
92,50
86,47
75,6
39,29
95,14
93,72
41,97
70,82
49,53
67,43
39,41
29,83
99,72
57,46
90,26
88,38
8,34
45,87
28,93
51,64
100,7
83,68
99,88
20,60
55,12
2,61
63,43
99,3
71,9
75,69
30,25
63,49
93,70
78,43
8,9
74,26
11,45
61,8
70,17
2,89
30,92
55,86
52,5
47,3
94,66
44,94
20,11
39,57
80,69
60,10
19,21
70,40
86,13
53,67
5,93
84,38
38,17
8,80
16,83
17,100
37,19
99,95
38,26
99,5
19,42
32,36
53,78
77,12
57,71
82,39
62,17
78,84
60,21
30,50
40,30
16,23
32,37
17,80
66,74
77,88
35,29
38,55
74,72
66,1
54,9
20,10
47,13
34,28
37,81
15,99
60,2
12,76
11,99
23,42
